Date/Time,Active Energy (kcal),Source
2022-01-06 09:18:01,0.002,Alan’s Apple Watch
2022-01-06 09:18:02,0.017,Alan’s Apple Watch
2022-01-06 09:18:03,0.017,Alan’s Apple Watch
2022-01-06 09:18:04,0.017,Alan’s Apple Watch
2022-01-06 09:18:05,0.017,Alan’s Apple Watch
2022-01-06 09:18:06,0.017,Alan’s Apple Watch
2022-01-06 09:18:07,0.017,Alan’s Apple Watch
2022-01-06 09:18:08,0.017,Alan’s Apple Watch
2022-01-06 09:18:09,0.017,Alan’s Apple Watch
2022-01-06 09:18:10,0.017,Alan’s Apple Watch
2022-01-06 09:18:11,0.017,Alan’s Apple Watch
2022-01-06 09:18:12,0.017,Alan’s Apple Watch
2022-01-06 09:18:13,0.017,Alan’s Apple Watch
2022-01-06 09:18:14,0.017,Alan’s Apple Watch
2022-01-06 09:18:15,0.017,Alan’s Apple Watch
2022-01-06 09:18:16,0.017,Alan’s Apple Watch
2022-01-06 09:18:17,0.017,Alan’s Apple Watch
2022-01-06 09:18:18,0.017,Alan’s Apple Watch
2022-01-06 09:18:19,0.017,Alan’s Apple Watch
2022-01-06 09:18:20,0.017,Alan’s Apple Watch
2022-01-06 09:18:21,0.017,Alan’s Apple Watch
2022-01-06 09:18:22,0.017,Alan’s Apple Watch
2022-01-06 09:18:23,0.017,Alan’s Apple Watch
2022-01-06 09:18:24,0.017,Alan’s Apple Watch
2022-01-06 09:18:25,0.017,Alan’s Apple Watch
2022-01-06 09:18:26,0.017,Alan’s Apple Watch
2022-01-06 09:18:27,0.017,Alan’s Apple Watch
2022-01-06 09:18:28,0.017,Alan’s Apple Watch
2022-01-06 09:18:29,0.017,Alan’s Apple Watch
2022-01-06 09:18:30,0.017,Alan’s Apple Watch
2022-01-06 09:18:31,0.017,Alan’s Apple Watch
2022-01-06 09:18:32,0.017,Alan’s Apple Watch
2022-01-06 09:18:33,0.017,Alan’s Apple Watch
2022-01-06 09:18:34,0.017,Alan’s Apple Watch
2022-01-06 09:18:35,0.017,Alan’s Apple Watch
2022-01-06 09:18:36,0.017,Alan’s Apple Watch
2022-01-06 09:18:37,0.017,Alan’s Apple Watch
2022-01-06 09:18:38,0.017,Alan’s Apple Watch
2022-01-06 09:18:39,0.017,Alan’s Apple Watch
