Date/Time,Swimming Distance (yd),Source
2022-01-06 09:13:54,0.116,Alan’s Apple Watch
2022-01-06 09:13:55,0.677,Alan’s Apple Watch
2022-01-06 09:13:56,0.677,Alan’s Apple Watch
2022-01-06 09:13:57,0.677,Alan’s Apple Watch
2022-01-06 09:13:58,0.677,Alan’s Apple Watch
2022-01-06 09:13:59,0.677,Alan’s Apple Watch
2022-01-06 09:14:00,0.677,Alan’s Apple Watch
2022-01-06 09:14:01,0.677,Alan’s Apple Watch
2022-01-06 09:14:02,0.677,Alan’s Apple Watch
2022-01-06 09:14:03,0.677,Alan’s Apple Watch
2022-01-06 09:14:04,0.677,Alan’s Apple Watch
2022-01-06 09:14:05,0.677,Alan’s Apple Watch
2022-01-06 09:14:06,0.677,Alan’s Apple Watch
2022-01-06 09:14:07,0.677,Alan’s Apple Watch
2022-01-06 09:14:08,0.677,Alan’s Apple Watch
2022-01-06 09:14:09,0.677,Alan’s Apple Watch
2022-01-06 09:14:10,0.677,Alan’s Apple Watch
2022-01-06 09:14:11,0.677,Alan’s Apple Watch
2022-01-06 09:14:12,0.677,Alan’s Apple Watch
2022-01-06 09:14:13,0.677,Alan’s Apple Watch
2022-01-06 09:14:14,0.677,Alan’s Apple Watch
2022-01-06 09:14:15,0.677,Alan’s Apple Watch
2022-01-06 09:14:16,0.677,Alan’s Apple Watch
2022-01-06 09:14:17,0.677,Alan’s Apple Watch
2022-01-06 09:14:18,0.677,Alan’s Apple Watch
2022-01-06 09:14:19,0.677,Alan’s Apple Watch
2022-01-06 09:14:20,0.677,Alan’s Apple Watch
2022-01-06 09:14:21,0.677,Alan’s Apple Watch
2022-01-06 09:14:22,0.677,Alan’s Apple Watch
2022-01-06 09:14:23,0.677,Alan’s Apple Watch
2022-01-06 09:14:24,0.677,Alan’s Apple Watch
2022-01-06 09:14:25,0.677,Alan’s Apple Watch
2022-01-06 09:14:26,0.677,Alan’s Apple Watch
2022-01-06 09:14:27,0.677,Alan’s Apple Watch
2022-01-06 09:14:28,0.677,Alan’s Apple Watch
2022-01-06 09:14:29,0.677,Alan’s Apple Watch
2022-01-06 09:14:30,0.677,Alan’s Apple Watch
2022-01-06 09:14:31,0.821,Alan’s Apple Watch
2022-01-06 09:14:32,1.28,Alan’s Apple Watch
2022-01-06 09:14:33,1.28,Alan’s Apple Watch
2022-01-06 09:14:34,1.28,Alan’s Apple Watch
2022-01-06 09:14:35,1.28,Alan’s Apple Watch
2022-01-06 09:14:36,1.28,Alan’s Apple Watch
2022-01-06 09:14:37,1.28,Alan’s Apple Watch
2022-01-06 09:14:38,1.28,Alan’s Apple Watch
